,adcode,e1,d1,c1,b1,a1,e2,d2,c2,b2,a2,e3,d3,c3,b3,a3
Beijing,110000,0%,0%,0%,0%,0%,18%,16%,16%,17%,17%,82%,84%,84%,83%,83%
Tianjin,120000,2%,2%,1%,1%,1%,36%,35%,35%,36%,37%,62%,63%,63%,63%,62%
Hebei,130000,10%,11%,10%,10%,10%,40%,38%,38%,40%,42%,50%,51%,52%,50%,48%
Shanxi,140000,6%,7%,5%,5%,5%,51%,43%,44%,44%,46%,44%,50%,51%,51%,49%
Inner Mongolia,150000,11%,12%,11%,11%,11%,47%,40%,39%,39%,39%,42%,48%,50%,50%,49%
Liaoning,210000,9%,9%,9%,9%,9%,39%,37%,38%,38%,38%,52%,53%,53%,53%,53%
Jilin,220000,12%,13%,11%,10%,10%,36%,35%,35%,36%,37%,52%,52%,54%,54%,53%
Heilongjiang,230000,23%,25%,24%,23%,24%,28%,25%,27%,28%,29%,49%,49%,50%,49%,47%
Shanghai,310000,0%,0%,0%,0%,0%,26%,26%,27%,29%,29%,74%,73%,73%,71%,71%
Jiangsu,320000,4%,4%,4%,4%,5%,45%,43%,44%,45%,46%,51%,52%,52%,50%,50%
Zhejiang,330000,3%,3%,3%,3%,4%,42%,41%,42%,44%,44%,55%,56%,55%,53%,52%
Anhui,340000,8%,8%,8%,8%,9%,41%,40%,41%,41%,43%,52%,52%,51%,51%,49%
Fujian,350000,6%,6%,6%,6%,7%,47%,46%,47%,49%,48%,47%,47%,46%,45%,45%
Jiangxi,360000,8%,9%,8%,8%,9%,44%,43%,44%,44%,47%,48%,48%,48%,47%,44%
Shandong,370000,7%,7%,7%,7%,8%,40%,39%,40%,41%,43%,53%,54%,53%,51%,50%
Henan,410000,10%,10%,9%,9%,9%,41%,41%,43%,44%,47%,50%,49%,48%,47%,44%
Hubei,420000,9%,10%,8%,8%,9%,39%,37%,41%,42%,42%,52%,53%,50%,50%,48%
Hunan,430000,9%,10%,9%,8%,9%,39%,38%,39%,38%,40%,51%,51%,52%,53%,51%
Guangdong,440000,4%,4%,4%,4%,4%,41%,39%,40%,41%,42%,55%,56%,56%,55%,54%
Guangxi,450000,16%,16%,16%,15%,16%,34%,32%,33%,34%,35%,50%,52%,51%,51%,49%
Hainan,460000,19%,20%,20%,20%,21%,19%,19%,20%,21%,22%,62%,60%,59%,58%,56%
Chongqing,500000,7%,7%,7%,6%,6%,40%,40%,40%,41%,42%,53%,53%,54%,53%,52%
Sichuan,510000,10%,11%,10%,10%,11%,37%,36%,37%,37%,38%,53%,52%,53%,52%,50%
Guizhou,520000,14%,14%,14%,14%,15%,35%,35%,36%,36%,37%,51%,51%,51%,50%,49%
Yunnan,530000,14%,15%,13%,12%,13%,35%,34%,35%,35%,34%,51%,51%,52%,53%,53%
Tibet,540000,8%,8%,8%,8%,9%,36%,38%,37%,38%,35%,56%,55%,54%,54%,56%
Shaanxi,610000,8%,9%,8%,8%,8%,47%,43%,46%,47%,47%,45%,48%,47%,46%,45%
Gansu,620000,13%,13%,12%,11%,12%,34%,31%,33%,34%,34%,53%,55%,55%,54%,54%
Qinghai,630000,10%,11%,10%,10%,10%,40%,38%,39%,40%,40%,49%,51%,51%,50%,51%
Ningxia,640000,8%,9%,7%,8%,8%,46%,41%,42%,42%,44%,46%,50%,50%,50%,48%
Xinjiang,650000,14%,14%,13%,13%,14%,39%,35%,35%,36%,37%,47%,51%,52%,50%,49%
