Area,Month,age_label,index_column
77th Street,1,0-19,346
77th Street,1,20-39,362
77th Street,1,40-59,229
77th Street,1,60-79,73
77th Street,1,>=80,5
77th Street,2,0-19,284
77th Street,2,20-39,401
77th Street,2,40-59,278
77th Street,2,60-79,75
77th Street,2,>=80,3
77th Street,3,0-19,337
77th Street,3,20-39,457
77th Street,3,40-59,292
77th Street,3,60-79,87
77th Street,3,>=80,10
77th Street,4,0-19,365
77th Street,4,20-39,492
77th Street,4,40-59,273
77th Street,4,60-79,100
77th Street,4,>=80,10
77th Street,5,0-19,398
77th Street,5,20-39,512
77th Street,5,40-59,343
77th Street,5,60-79,101
77th Street,5,>=80,5
77th Street,6,0-19,372
77th Street,6,20-39,494
77th Street,6,40-59,309
77th Street,6,60-79,121
77th Street,6,>=80,5
77th Street,7,0-19,385
77th Street,7,20-39,489
77th Street,7,40-59,298
77th Street,7,60-79,98
77th Street,7,>=80,7
77th Street,8,0-19,360
77th Street,8,20-39,466
77th Street,8,40-59,281
77th Street,8,60-79,100
77th Street,8,>=80,9
77th Street,9,0-19,369
77th Street,9,20-39,450
77th Street,9,40-59,286
77th Street,9,60-79,86
77th Street,9,>=80,8
77th Street,10,0-19,337
77th Street,10,20-39,533
77th Street,10,40-59,314
77th Street,10,60-79,91
77th Street,10,>=80,11
77th Street,11,0-19,324
77th Street,11,20-39,432
77th Street,11,40-59,264
77th Street,11,60-79,107
77th Street,11,>=80,5
77th Street,12,0-19,310
77th Street,12,20-39,513
77th Street,12,40-59,306
77th Street,12,60-79,80
77th Street,12,>=80,5
Central,1,0-19,314
Central,1,20-39,595
Central,1,40-59,272
Central,1,60-79,98
Central,1,>=80,4
Central,2,0-19,255
Central,2,20-39,587
Central,2,40-59,275
Central,2,60-79,86
Central,2,>=80,2
Central,3,0-19,276
Central,3,20-39,718
Central,3,40-59,363
Central,3,60-79,90
Central,3,>=80,3
Central,4,0-19,285
Central,4,20-39,761
Central,4,40-59,364
Central,4,60-79,94
Central,4,>=80,5
Central,5,0-19,310
Central,5,20-39,691
Central,5,40-59,361
Central,5,60-79,112
Central,5,>=80,5
Central,6,0-19,318
Central,6,20-39,688
Central,6,40-59,331
Central,6,60-79,118
Central,6,>=80,9
Central,7,0-19,344
Central,7,20-39,746
Central,7,40-59,349
Central,7,60-79,106
Central,7,>=80,6
Central,8,0-19,358
Central,8,20-39,872
Central,8,40-59,361
Central,8,60-79,93
Central,8,>=80,8
Central,9,0-19,298
Central,9,20-39,796
Central,9,40-59,306
Central,9,60-79,102
Central,9,>=80,6
Central,10,0-19,313
Central,10,20-39,780
Central,10,40-59,327
Central,10,60-79,97
Central,10,>=80,4
Central,11,0-19,339
Central,11,20-39,665
Central,11,40-59,325
Central,11,60-79,91
Central,11,>=80,5
Central,12,0-19,315
Central,12,20-39,750
Central,12,40-59,332
Central,12,60-79,107
Central,12,>=80,2
Devonshire,1,0-19,260
Devonshire,1,20-39,249
Devonshire,1,40-59,185
Devonshire,1,60-79,98
Devonshire,1,>=80,7
Devonshire,2,0-19,251
Devonshire,2,20-39,197
Devonshire,2,40-59,181
Devonshire,2,60-79,99
Devonshire,2,>=80,8
Devonshire,3,0-19,261
Devonshire,3,20-39,239
Devonshire,3,40-59,158
Devonshire,3,60-79,108
Devonshire,3,>=80,11
Devonshire,4,0-19,245
Devonshire,4,20-39,236
Devonshire,4,40-59,193
Devonshire,4,60-79,95
Devonshire,4,>=80,23
Devonshire,5,0-19,285
Devonshire,5,20-39,198
Devonshire,5,40-59,177
Devonshire,5,60-79,90
Devonshire,5,>=80,11
Devonshire,6,0-19,283
