Area,Month,Nbr,LAT,LON
77th Street,1,1015,33.97786,-118.297
77th Street,2,1041,33.97786,-118.297
77th Street,3,1183,33.97786,-118.297
77th Street,4,1240,33.97786,-118.297
77th Street,5,1359,33.97786,-118.297
77th Street,6,1301,33.97786,-118.297
77th Street,7,1277,33.97786,-118.297
77th Street,8,1216,33.97786,-118.297
77th Street,9,1199,33.97786,-118.297
77th Street,10,1286,33.97786,-118.297
77th Street,11,1132,33.97786,-118.297
77th Street,12,1214,33.97786,-118.297
Central,1,1283,34.0474052,-118.2506372
Central,2,1205,34.0474052,-118.2506372
Central,3,1450,34.0474052,-118.2506372
Central,4,1509,34.0474052,-118.2506372
Central,5,1479,34.0474052,-118.2506372
Central,6,1464,34.0474052,-118.2506372
Central,7,1551,34.0474052,-118.2506372
Central,8,1692,34.0474052,-118.2506372
Central,9,1508,34.0474052,-118.2506372
Central,10,1521,34.0474052,-118.2506372
Central,11,1425,34.0474052,-118.2506372
Central,12,1506,34.0474052,-118.2506372
Devonshire,1,799,34.24978593,-118.5397907
Devonshire,2,736,34.24978593,-118.5397907
Devonshire,3,777,34.24978593,-118.5397907
Devonshire,4,792,34.24978593,-118.5397907
Devonshire,5,761,34.24978593,-118.5397907
Devonshire,6,839,34.24978593,-118.5397907
Devonshire,7,756,34.24978593,-118.5397907
Devonshire,8,800,34.24978593,-118.5397907
Devonshire,9,781,34.24978593,-118.5397907
Devonshire,10,833,34.24978593,-118.5397907
Devonshire,11,750,34.24978593,-118.5397907
Devonshire,12,802,34.24978593,-118.5397907
Foothill,1,644,34.24817831,-118.3786672
Foothill,2,655,34.24817831,-118.3786672
Foothill,3,626,34.24817831,-118.3786672
Foothill,4,626,34.24817831,-118.3786672
Foothill,5,722,34.24817831,-118.3786672
Foothill,6,695,34.24817831,-118.3786672
Foothill,7,674,34.24817831,-118.3786672
Foothill,8,619,34.24817831,-118.3786672
Foothill,9,626,34.24817831,-118.3786672
Foothill,10,585,34.24817831,-118.3786672
Foothill,11,634,34.24817831,-118.3786672
Foothill,12,670,34.24817831,-118.3786672
Harbor,1,777,33.77181614,-118.2853861
Harbor,2,678,33.77181614,-118.2853861
Harbor,3,757,33.77181614,-118.2853861
Harbor,4,775,33.77181614,-118.2853861
Harbor,5,737,33.77181614,-118.2853861
Harbor,6,748,33.77181614,-118.2853861
Harbor,7,818,33.77181614,-118.2853861
Harbor,8,807,33.77181614,-118.2853861
Harbor,9,761,33.77181614,-118.2853861
Harbor,10,780,33.77181614,-118.2853861
Harbor,11,654,33.77181614,-118.2853861
Harbor,12,814,33.77181614,-118.2853861
Hollenbeck,1,614,34.05356646,-118.2034202
Hollenbeck,2,614,34.05356646,-118.2034202
Hollenbeck,3,734,34.05356646,-118.2034202
Hollenbeck,4,680,34.05356646,-118.2034202
Hollenbeck,5,757,34.05356646,-118.2034202
Hollenbeck,6,725,34.05356646,-118.2034202
Hollenbeck,7,754,34.05356646,-118.2034202
Hollenbeck,8,771,34.05356646,-118.2034202
Hollenbeck,9,672,34.05356646,-118.2034202
Hollenbeck,10,739,34.05356646,-118.2034202
Hollenbeck,11,675,34.05356646,-118.2034202
Hollenbeck,12,732,34.05356646,-118.2034202
